artist,title,artist_list,total_weeks,peak_rank,debut_rank,end_rank,peak_week,decay_rate,post_peak_length
"Travis Scott, Bad Bunny & The Weeknd",K-POP,"['Travis Scott', 'Bad Bunny', 'The Weeknd']",8,7.0,7.0,94.0,0,-12.428571428571429,7
Trevor Daniel,Falling,['Trevor Daniel'],38,17.0,75.0,48.0,29,-3.875,8
Trey Lewis,Dicked Down In Dallas,['Trey Lewis'],2,65.0,65.0,75.0,0,-10.0,1
Trey Songz,Nobody Else But You,['Trey Songz'],3,92.0,99.0,97.0,1,-5.0,1
Trippie Redd,Taking A Walk,['Trippie Redd'],3,46.0,46.0,92.0,0,-23.0,2
Trippie Redd,Topanga,['Trippie Redd'],5,52.0,80.0,66.0,2,-7.0,2
Trippie Redd,Who Needs Love,['Trippie Redd'],2,58.0,58.0,82.0,0,-24.0,1
Trippie Redd & Juice WRLD,Knight Crawler,"['Trippie Redd', 'Juice WRLD']",2,52.0,52.0,93.0,0,-41.0,1
Trippie Redd Featuring DaBaby,Death,"['Trippie Redd', 'DaBaby']",7,59.0,97.0,91.0,1,-6.4,5
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,"['Trippie Redd', 'Juice WRLD']",3,55.0,55.0,72.0,0,-8.5,2
Trippie Redd Featuring Juice WRLD,Matt Hardy 999,"['Trippie Redd', 'Juice WRLD']",2,49.0,49.0,100.0,0,-51.0,1
Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss,"['Trippie Redd', 'Juice WRLD', 'YNW Melly']",4,60.0,60.0,100.0,0,-13.333333333333334,3
Trippie Redd Featuring Lil Baby & Lil Duke,Mac 10,"['Trippie Redd', 'Lil Baby', 'Lil Duke']",2,64.0,64.0,89.0,0,-25.0,1
Troye Sivan,Rush,['Troye Sivan'],2,77.0,77.0,88.0,0,-11.0,1
Tucker Beathard,Rock On,['Tucker Beathard'],10,62.0,98.0,91.0,7,-14.5,2
Tucker Wetmore,Wind Up Missin' You,['Tucker Wetmore'],43,31.0,89.0,47.0,39,-5.333333333333333,3
Twenty One Pilots,Heathens,['Twenty One Pilots'],39,2.0,14.0,45.0,11,-1.5925925925925926,27
Twenty One Pilots,Level Of Concern,['Twenty One Pilots'],11,23.0,23.0,90.0,0,-6.7,10
Twenty One Pilots,Ride,['Twenty One Pilots'],39,5.0,96.0,40.0,23,-2.3333333333333335,15
Twenty One Pilots,Stressed Out,['Twenty One Pilots'],40,2.0,19.0,38.0,8,-1.1612903225806452,31
Twice,Strategy,['Twice'],17,51.0,92.0,87.0,5,-3.272727272727273,11
Ty Dolla $ign Featuring E-40,Saved,"['Ty Dolla $ign', 'E-40']",9,81.0,93.0,87.0,7,-6.0,1
Ty Dolla $ign Featuring Future & Rae Sremmurd,Blase,"['Ty Dolla $ign', 'Future', 'Rae Sremmurd']",5,83.0,83.0,99.0,0,-4.0,4
Tyga Featuring Offset,Taste,"['Tyga', 'Offset']",29,8.0,82.0,46.0,11,-2.235294117647059,17
Tyga X Doja Cat,Freaky Deaky,"['Tyga', 'Doja Cat']",16,43.0,43.0,82.0,0,-2.6,15
Tyla,Water,['Tyla'],29,7.0,67.0,26.0,13,-1.2666666666666666,15
Tyla Yaweh & Post Malone,Tommy Lee,"['Tyla Yaweh', 'Post Malone']",2,65.0,65.0,88.0,0,-23.0,1
Tyler Childers,In Your Love,['Tyler Childers'],10,43.0,43.0,88.0,0,-5.0,9
Tyler Hubbard,5 Foot 9,['Tyler Hubbard'],22,22.0,84.0,54.0,14,-4.571428571428571,7
Tyler Hubbard,Park,['Tyler Hubbard'],2,84.0,84.0,96.0,0,-12.0,1
"Tyler, The Creator",Dogtooth,"['Tyler, The Creator']",4,33.0,81.0,78.0,1,-22.5,2
"Tyler, The Creator",Don't Tap That Glass / Tweakin',"['Tyler, The Creator']",2,56.0,56.0,99.0,0,-43.0,1
"Tyler, The Creator",EARFQUAKE,"['Tyler, The Creator']",15,13.0,13.0,96.0,0,-5.928571428571429,14
"Tyler, The Creator",Hey Jane,"['Tyler, The Creator']",2,33.0,33.0,61.0,0,-28.0,1
"Tyler, The Creator",I Hope You Find Your Way Home,"['Tyler, The Creator']",2,65.0,65.0,93.0,0,-28.0,1
"Tyler, The Creator",I Killed You,"['Tyler, The Creator']",2,46.0,46.0,65.0,0,-19.0,1
"Tyler, The Creator",Judge Judy,"['Tyler, The Creator']",3,40.0,40.0,90.0,0,-25.0,2
"Tyler, The Creator",Mommanem,"['Tyler, The Creator']",2,54.0,54.0,97.0,0,-43.0,1
"Tyler, The Creator",Noid,"['Tyler, The Creator']",5,10.0,43.0,84.0,1,-24.666666666666668,3
"Tyler, The Creator",Rah Tah Tah,"['Tyler, The Creator']",4,16.0,16.0,70.0,0,-18.0,3
"Tyler, The Creator",Ring Ring Ring,"['Tyler, The Creator']",6,44.0,44.0,96.0,0,-10.4,5
"Tyler, The Creator",Sorry Not Sorry,"['Tyler, The Creator']",2,48.0,48.0,82.0,0,-34.0,1
"Tyler, The Creator",Stop Playing With Me,"['Tyler, The Creator']",2,51.0,51.0,95.0,0,-44.0,1
"Tyler, The Creator",Sucka Free,"['Tyler, The Creator']",2,48.0,48.0,73.0,0,-25.0,1
"Tyler, The Creator",Sugar On My Tongue,"['Tyler, The Creator']",22,41.0,41.0,96.0,0,-2.619047619047619,21
"Tyler, The Creator",Tomorrow,"['Tyler, The Creator']",2,53.0,53.0,73.0,0,-20.0,1
"Tyler, The Creator Featuring Daniel Caesar & Latoiya Williams",Take Your Mask Off,"['Tyler, The Creator', 'Daniel Caesar', 'Latoiya Williams']",3,42.0,42.0,94.0,0,-26.0,2
